                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6462,                 3.4411,                  1.264,                 0.0224,                0.45173,                0.17175,                0.09889,                 1.4086,                 3.2611,                  1.045,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.3007,                 1.8632,                 1.0339,                0.02103,                0.36988,                0.29356,                0.18663,                 1.2388,                 3.2945,                0.99178,             0.00037961,             0.00037961,             0.00037961
                      3,                 1.1845,                  1.103,                 1.0148,                0.01634,                0.28634,                0.20885,                0.13896,                  1.178,                 3.2345,                0.98122,              0.0005719,              0.0005719,              0.0005719
                      4,                 1.1508,                 0.9971,                 1.0057,                 0.0194,                0.23315,                0.14634,                0.10847,                 1.0733,                 3.2116,                0.94832,             0.00076022,             0.00076022,             0.00076022
                      5,                 1.1389,                0.92472,                0.99655,                0.01636,                0.24096,                0.10388,                0.07433,                  1.038,                 3.1813,                0.94824,             0.00094458,             0.00094458,             0.00094458
                      6,                 1.1249,                0.90181,                0.99466,                0.03085,                0.44152,                0.12777,                0.09266,                 1.0774,                 3.0567,                0.97299,               0.001125,               0.001125,               0.001125
                      7,                 1.1056,                0.87799,                0.99883,                0.04884,                0.75983,                0.58408,                0.38119,                 1.1008,                 2.7016,                0.98876,              0.0013014,              0.0013014,              0.0013014
                      8,                 1.1034,                0.85196,                0.99392,                0.78555,                0.24678,                0.67142,                0.41053,                 1.1926,                 2.3293,                 1.0648,              0.0014739,              0.0014739,              0.0014739
                      9,                 1.1173,                0.85077,                 1.0049,                 0.7046,                0.37127,                0.59114,                0.33732,                 1.2094,                 2.0065,                 1.0581,               0.001535,               0.001535,               0.001535
                     10,                 1.0883,                 0.8091,                0.98735,                0.72801,                0.67403,                0.76866,                 0.4775,                 1.1244,                 1.4945,                 1.0255,              0.0015185,              0.0015185,              0.0015185
                     11,                   1.08,                0.79519,                0.98162,                0.65205,                0.74704,                0.75225,                0.47205,                 1.0854,                 1.1226,                0.99917,               0.001502,               0.001502,               0.001502
                     12,                 1.0659,                0.76818,                0.98724,                0.70115,                0.79385,                0.77111,                0.49054,                 1.0632,                0.94336,                 1.0018,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0914,                0.77737,                0.99494,                0.77304,                0.81253,                0.85443,                0.55716,                 1.0623,                0.82954,                0.99549,               0.001469,               0.001469,               0.001469
                     14,                 1.0668,                0.75161,                0.98186,                0.76878,                0.83359,                0.84201,                0.55383,                  1.057,                 0.7801,                 1.0074,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0454,                0.73145,                0.97557,                0.77563,                0.83934,                0.84943,                0.56743,                  1.015,                0.74443,                0.99056,               0.001436,               0.001436,               0.001436
                     16,                 1.0377,                0.71702,                0.97759,                0.77325,                0.82349,                0.84665,                0.56415,                 1.0201,                0.77429,                0.99406,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.037,                0.72481,                 0.9738,                0.79868,                0.84188,                0.87482,                0.59405,                0.99993,                0.71813,                0.98663,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0291,                0.70801,                  0.972,                0.79416,                0.83599,                0.87486,                0.58122,                 1.0205,                0.74239,                0.98998,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0308,                0.69638,                0.97091,                0.79143,                0.82775,                0.87201,                 0.5978,                0.97825,                0.74305,                0.98084,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0036,                0.69043,                0.96522,                0.76564,                 0.8472,                0.87766,                0.59238,                0.99032,                0.82509,                0.99325,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0243,                 0.7001,                 0.9745,                0.80605,                0.83162,                0.88232,                0.59088,                 1.0015,                0.75236,                0.98287,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0105,                0.68528,                0.96955,                0.79804,                0.82699,                0.87559,                0.56965,                 1.0609,                0.71647,                 1.0259,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0124,                0.67929,                0.96724,                0.82798,                0.80458,                0.88393,                0.60339,                 0.9712,                0.77081,                0.97826,              0.0013039,              0.0013039,              0.0013039
                     24,                0.97434,                0.66145,                0.95518,                0.78979,                 0.8503,                0.88566,                0.59962,                0.97562,                0.73556,                0.98144,              0.0012874,              0.0012874,              0.0012874
                     25,                0.98922,                0.66497,                0.95873,                0.78339,                0.84438,                0.87736,                0.59629,                 1.0074,                0.71096,                0.98852,              0.0012709,              0.0012709,              0.0012709
                     26,                0.99985,                0.66141,                0.96494,                0.80897,                0.83648,                0.87157,                0.60009,                0.96714,                0.76751,                0.97678,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0041,                0.67037,                0.95851,                0.79311,                0.82707,                0.87893,                0.60664,                 0.9614,                0.71196,                0.96917,              0.0012379,              0.0012379,              0.0012379
                     28,                0.98044,                0.65888,                0.95603,                0.79202,                0.84978,                0.89178,                0.61302,                 0.9712,                0.70554,                0.97106,              0.0012214,              0.0012214,              0.0012214
                     29,                0.97043,                0.64473,                0.95715,                0.79903,                0.84889,                0.88123,                0.61002,                0.95856,                0.67388,                0.97132,              0.0012049,              0.0012049,              0.0012049
                     30,                0.96924,                0.64488,                0.95871,                0.78943,                0.84603,                0.88384,                0.61324,                0.96912,                0.71196,                0.96913,              0.0011884,              0.0011884,              0.0011884
                     31,                0.98443,                0.63952,                0.95193,                0.78523,                0.86461,                0.88909,                 0.6202,                0.96287,                0.72668,                0.97446,              0.0011719,              0.0011719,              0.0011719
                     32,                0.97494,                0.64017,                0.96018,                0.77508,                0.85957,                0.88117,                0.60805,                0.95245,                0.72506,                0.96878,              0.0011554,              0.0011554,              0.0011554
                     33,                0.95684,                 0.6248,                0.95036,                0.81209,                0.84335,                0.88949,                0.62278,                0.93407,                0.66368,                0.96251,              0.0011389,              0.0011389,              0.0011389
                     34,                0.96015,                 0.6342,                0.95365,                0.81519,                0.82077,                0.87419,                0.60646,                0.97188,                0.67712,                 0.9702,              0.0011224,              0.0011224,              0.0011224
                     35,                 0.9418,                0.62827,                0.94817,                 0.8141,                 0.8227,                 0.8841,                0.60691,                0.97521,                0.68899,                0.97638,              0.0011059,              0.0011059,              0.0011059
                     36,                0.96568,                0.63204,                0.95318,                0.78809,                0.85214,                0.88747,                0.61247,                0.97025,                0.67806,                0.97884,              0.0010894,              0.0010894,              0.0010894
                     37,                 0.9589,                0.62095,                0.94882,                0.80275,                0.84202,                0.88927,                0.62347,                0.94676,                0.68021,                0.96688,              0.0010729,              0.0010729,              0.0010729
                     38,                0.93496,                0.61317,                0.94199,                0.79926,                0.84894,                0.88028,                0.60827,                0.95818,                0.72571,                0.97299,              0.0010564,              0.0010564,              0.0010564
                     39,                 0.9461,                  0.614,                0.93883,                0.78442,                0.86848,                0.88538,                0.61486,                0.95902,                0.68005,                0.97543,              0.0010399,              0.0010399,              0.0010399
                     40,                0.93837,                0.60563,                 0.9455,                0.79471,                0.85282,                0.89112,                0.61555,                0.95172,                0.67238,                0.96911,              0.0010234,              0.0010234,              0.0010234
                     41,                0.93726,                0.60227,                0.94307,                0.81292,                0.84398,                 0.8942,                0.62363,                0.94893,                0.66376,                0.97225,              0.0010069,              0.0010069,              0.0010069
                     42,                0.92817,                0.60531,                0.93871,                0.81279,                0.85192,                0.89179,                0.62955,                0.93337,                0.63001,                0.96521,             0.00099036,             0.00099036,             0.00099036
                     43,                0.91508,                0.59026,                0.93915,                0.79906,                0.85191,                0.88208,                0.61981,                0.94279,                0.68461,                0.97153,             0.00097386,             0.00097386,             0.00097386
                     44,                0.92091,                0.60302,                0.94002,                0.78812,                0.84477,                0.88709,                0.61799,                0.95635,                 0.6705,                 0.9688,             0.00095736,             0.00095736,             0.00095736
                     45,                0.92591,                0.59769,                0.93761,                0.80717,                0.82939,                0.88999,                0.61986,                0.94206,                0.65942,                0.96767,             0.00094085,             0.00094085,             0.00094085
